Count,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Target
1,-0.1068,-0.8993333,-0.3113333,-4.8626667,1.2414667,-4.8454667,Not Fall
2,-0.1688,-0.9186667,-0.3232,-3.3165333,1.1198667,-5.0033333,Not Fall
3,-0.8068,-0.0157333,-0.0337333,2.9986667,1.6688,11.9236,Not Fall
4,-0.8634667,-0.0277333,-0.0229333,4.9558667,1.0513333,11.309467,Not Fall
5,0.1082667,-0.9621333,0.0582667,-10.3796,9.5464,0.7624,Not Fall
6,0.0504,-0.9770667,0.0526667,-8.204,8.9177333,0.298,Not Fall
7,-0.7905333,0.3356,0.0929333,-14.493067,1.7770667,-2.4564,Not Fall
8,-0.8484,0.3244,0.1050667,-12.683333,0.8274667,-2.6533333,Not Fall
9,-0.7762667,-0.1248,0.02,2.4778667,8.1033333,10.674133,Not Fall
10,-0.8298667,-0.1354667,0.0272,4.3612,7.3506667,9.8404,Not Fall
11,-0.8225333,0.0212,0.0212,4.6308,-1.6148,-3.1022667,Not Fall
12,-0.8821333,0.0090667,0.0282667,6.7961333,-2.2714667,-3.276,Not Fall
13,-0.8346667,0.2596,-0.0437333,2.2781333,-3.6346667,5.3913333,Not Fall
14,-0.8974667,0.2484,-0.0473333,4.1056,-4.3596,5.3646667,Not Fall
15,-0.4861333,-0.7261333,0.1104,6.4501333,7.0372,3.6273333,Not Fall
16,-0.5429333,-0.7402667,0.1102667,8.5584,6.7328,3.1777333,Not Fall
17,-0.8493333,-0.0613333,0.1866667,4.3197333,-1.7424,-2.2156,Not Fall
18,-0.8981333,-0.0689333,0.2021333,6.3546667,-2.0668,-2.7370667,Not Fall
19,-0.8085333,0.4273333,0.0266667,-2.5097333,0.9405333,-1.7894667,Not Fall
20,-0.8645333,0.4185333,0.0301333,-0.5673333,0.6153333,-2.0884,Not Fall
21,-0.3972,-0.8130667,0.2565333,-6.1466667,-0.774,1.2709333,Not Fall
22,-0.4545333,-0.8253333,0.2529333,-4.1236,-1.12,0.9990667,Not Fall
23,-0.8545333,-0.0546667,0.0310667,2.614,2.8005333,4.7193333,Not Fall
24,-0.9136,-0.0664,0.0382667,4.8765333,2.4154667,4.4194667,Not Fall
25,0.1,-0.9572,0.2464,-4.7629333,-0.1169333,-2.1890667,Not Fall
26,0.0406667,-0.9718667,0.2396,-2.5784,-0.5381333,-2.4573333,Not Fall
27,-0.6296,-0.1656,0.3613333,3.1006667,-1.3684,-7.8654667,Not Fall
28,-0.6896,-0.1770667,0.3604,4.8473333,-1.9897333,-7.8028,Not Fall
29,-0.8481333,-0.2664,0.0414667,-13.1696,-0.3589333,2.3961333,Not Fall
30,-0.106799999999999,-0.899333333333333,-0.311333333333333,-4.86266666666666,1.24146666666666,-4.84546666666666,Not Fall
31,-0.1688,-0.918666666666666,-0.3232,-3.31653333333333,1.11986666666666,-5.00333333333333,Not Fall
32,-0.8068,-0.0157333333333333,-0.0337333333333333,2.99866666666666,1.6688,11.9236,Not Fall
33,-0.863466666666666,-0.0277333333333333,-0.0229333333333333,4.95586666666666,1.05133333333333,11.3094666666666,Not Fall
34,0.108266666666666,-0.962133333333333,0.0582666666666666,-10.3796,9.5464,0.762399999999999,Not Fall
35,0.0504,-0.977066666666666,0.0526666666666666,-8.20399999999999,8.91773333333333,0.298,Not Fall
36,-0.790533333333333,0.3356,0.0929333333333333,-14.4930666666666,1.77706666666666,-2.4564,Not Fall
37,-0.8484,0.324399999999999,0.105066666666666,-12.6833333333333,0.827466666666666,-2.65333333333333,Not Fall
38,-0.776266666666666,-0.1248,0.02,2.47786666666666,8.10333333333333,10.6741333333333,Not Fall
39,-0.829866666666666,-0.135466666666666,0.0272,4.36119999999999,7.35066666666666,9.84039999999999,Not Fall
40,-0.822533333333333,0.0212,0.0212,4.6308,-1.6148,-3.10226666666666,Not Fall
41,-0.882133333333333,0.00906666666666666,0.0282666666666666,6.79613333333333,-2.27146666666666,-3.276,Not Fall
42,-0.834666666666666,0.2596,-0.0437333333333333,2.27813333333333,-3.63466666666666,5.39133333333333,Not Fall
43,-0.897466666666666,0.248399999999999,-0.0473333333333333,4.10559999999999,-4.3596,5.36466666666666,Not Fall
44,-0.486133333333333,-0.726133333333333,0.1104,6.45013333333333,7.03719999999999,3.62733333333333,Not Fall
45,-0.542933333333333,-0.740266666666666,0.110266666666666,8.5584,6.7328,3.17773333333333,Not Fall
46,-0.849333333333333,-0.0613333333333333,0.186666666666666,4.31973333333333,-1.74239999999999,-2.2156,Not Fall
47,-0.898133333333333,-0.0689333333333333,0.202133333333333,6.35466666666666,-2.06679999999999,-2.73706666666666,Not Fall
48,-0.808533333333333,0.427333333333333,0.0266666666666666,-2.50973333333333,0.940533333333333,-1.78946666666666,Not Fall
49,-0.864533333333333,0.418533333333333,0.0301333333333333,-0.567333333333332,0.615333333333333,-2.0884,Not Fall
50,-0.3972,-0.813066666666666,0.256533333333333,-6.14666666666666,-774,1.27093333333333,Not Fall
51,0.8016,0.159466666666666,0.648666666666666,-6.22893333333333,1.4308,0.1784,Not Fall
52,-0.454533333333333,-0.825333333333333,0.252933333333333,-4.1236,-1.12,0.999066666666666,Not Fall
53,-0.854533333333333,-0.0546666666666666,0.0310666666666666,2.614,2.80053333333333,4.71933333333333,Not Fall
54,-0.9136,-0.0664,0.0382666666666666,4.87653333333333,2.41546666666666,4.41946666666666,Not Fall
55,0.814266666666666,0.1364,0.621866666666666,-3.58293333333333,2.03013333333333,-0.9528,Not Fall
56,0.765466666666666,0.1228,0.6164,-1.78133333333333,1.45626666666666,-1.33213333333333,Not Fall
57,0.7752,0.0818666666666666,0.683733333333333,-6.22133333333333,0.212133333333333,-1.2092,Not Fall
58,0.7256,0.0637333333333333,0.683466666666666,-4.69386666666666,-0.280666666666666,-1.56413333333333,Not Fall
59,0.8036,0.0133333333333333,0.662666666666666,-5.77786666666666,0.282533333333333,0.208666666666666,Not Fall
60,-0.848133333333333,-0.2664,0.0414666666666666,-13.1696,-0.358933333333333,2.39613333333333,Not Fall
61,-0.9024,-0.278266666666666,0.0621333333333333,-11.2062666666666,-1.0388,2.21613333333333,Not Fall
62,0.750266666666666,0.00426666666666666,662,-4.08813333333333,-0.715466666666666,-0.0112,Not Fall
63,0.747733333333333,0.144799999999999,0.650133333333333,-4.52986666666666,0.908799999999999,-0.123066666666666,Not Fall
